G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         1.4721571106      0.5000000000      0.0000000000      0.0000000000
M                             159         2.3220989457      0.3333300000      0.3333300000      0.0000000000
G                             274         4.0219825813      0.0000000000      0.0000000000      0.0000000000
